Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","10u","C_0805_2012Metric",52.030000,-84.850000,0.000000,bottom
"C2","22pf","C_0805_2012Metric",246.690000,-112.070000,-135.000000,bottom
"C3","22pf","C_0805_2012Metric",242.160000,-107.530000,-135.000000,bottom
"C4","10u","C_0805_2012Metric",60.230000,-81.980000,-90.000000,bottom
"C5","100n","C_0805_2012Metric",226.540000,-86.460000,180.000000,bottom
"C6","100n","C_0805_2012Metric",257.740000,-96.230000,180.000000,bottom
"C7","100n","C_0805_2012Metric",257.740000,-98.290000,180.000000,bottom
"C8","1u","C_0805_2012Metric",257.750000,-100.350000,180.000000,bottom
"C9","100n","C_0805_2012Metric",243.990000,-90.210000,180.000000,bottom
"C10","1u","C_0805_2012Metric",243.990000,-92.270000,180.000000,bottom
"C11","100n","C_0805_2012Metric",243.990000,-88.160000,180.000000,bottom
"C12","100n","C_0805_2012Metric",243.990000,-86.110000,180.000000,bottom
"C13","100n","C_0805_2012Metric",243.990000,-84.080000,180.000000,bottom
"C14","100n","C_0805_2012Metric",244.010000,-82.030000,180.000000,bottom
"C15","10u","C_0805_2012Metric",226.560000,-84.370000,180.000000,bottom
"D1","BAV70","SOT-23",78.300000,-58.375000,45.000000,bottom
"D2","BAV70","SOT-23",78.300000,-65.975000,-45.000000,bottom
"D3","BAV70","SOT-23",78.310000,-96.430000,45.000000,bottom
"D4","BAV70","SOT-23",78.310000,-103.990000,-45.000000,bottom
"D5","BAV70","SOT-23",124.845000,-134.545000,45.000000,bottom
"D6","BAV70","SOT-23",67.725000,-58.350000,135.000000,bottom
"D7","BAV70","SOT-23",68.100000,-65.975000,-135.000000,bottom
"D8","BAV70","SOT-23",67.720000,-96.430000,45.000000,bottom
"D9","BAV70","SOT-23",67.720000,-104.000000,-135.000000,bottom
"D10","BAV70","SOT-23",120.620000,-132.770000,0.000000,bottom
"D11","BAV70","SOT-23",127.670000,-58.350000,135.000000,bottom
"D12","BAV70","SOT-23",127.680000,-65.930000,-135.000000,bottom
"D13","BAV70","SOT-23",127.680000,-96.520000,135.000000,bottom
"D14","BAV70","SOT-23",127.680000,-103.960000,-135.000000,bottom
"D15","BAV70","SOT-23",127.140000,-116.580000,0.000000,bottom
"D16","BAV70","SOT-23",132.620000,-58.350000,45.000000,bottom
"D17","BAV70","SOT-23",132.620000,-65.930000,-45.000000,bottom
"D18","BAV70","SOT-23",132.620000,-96.520000,45.000000,bottom
"D19","BAV70","SOT-23",132.620000,-103.960000,-45.000000,bottom
"D20","BAV70","SOT-23",133.180000,-116.580000,180.000000,bottom
"D21","BAV70","SOT-23",182.000000,-58.350000,135.000000,bottom
"D22","BAV70","SOT-23",181.980000,-65.930000,-135.000000,bottom
"D23","BAV70","SOT-23",182.000000,-96.480000,135.000000,bottom
